[16:55:42] INFO | mcp-server | [APP] MCP-сервер запущен в фоне на порту 8001
[16:55:42] INFO | mcp-server | [APP] Streamlit UI запущен на порту 8501
[16:55:42] INFO | mcp-server | [APP] ✅ Инициализация приложения...
[16:55:42] INFO | mcp-server | [TARANTOOL] Tarantool connected successfully
[16:55:42] INFO | mcp-server | [APP] ✅ Клиенты инициализированы
[18:18:37] INFO | mcp-server | [APP] 🛑 Завершение работы приложения...
[18:18:37] INFO | mcp-server | [TARANTOOL] Tarantool connection closed
[18:18:37] INFO | mcp-server | [APP] ✅ Все соединения закрыты
[18:18:37] INFO | mcp-server | [APP] ✋ Приложение остановлено вручную
[18:18:42] INFO | mcp-server | [APP] MCP-сервер запущен в фоне на порту 8001
[18:18:42] INFO | mcp-server | [APP] Streamlit UI запущен на порту 8501
[18:18:42] INFO | mcp-server | [APP] ✅ Инициализация приложения...
[18:18:42] INFO | mcp-server | [TARANTOOL] Tarantool connected successfully
[18:18:42] INFO | mcp-server | [APP] ✅ Клиенты инициализированы
[18:19:02] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:184a0fd9d4b7266fbfe018d1e871a721'
[18:19:02] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_company_info:231201664 → cache:184a0fd9d4b7266fbfe018d1e871a721
[18:19:02] INFO | mcp-server | [COMPANY_INFO] Fetching data for INN: 231201664
[18:19:02] WARNING | mcp-server | [COMPANY_INFO] Invalid INN format: 231201664
[18:19:02] DEBUG | mcp-server | [CACHE] Skip caching error response: {'error': 'Invalid INN'}
[18:19:06] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:08aceb857e73acdaaeed484130570643'
[18:19:07] DEBUG | mcp-server | [TARANTOOL] Cache expired and deleted: cache:08aceb857e73acdaaeed484130570643
[18:19:07] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_company_info:2312016641 → cache:08aceb857e73acdaaeed484130570643
[18:19:07] INFO | mcp-server | [COMPANY_INFO] Fetching data for INN: 2312016641
[18:19:07] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:d634b73985cc20f08e9cea06382b6a7a'
[18:19:07] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:9570f40cf8c214294668c7ceb1b37d69'
[18:19:07] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:6d10c38a3d0ddfe170820e256d2775fc'
[18:19:07] DEBUG | mcp-server | [TARANTOOL] Cache expired and deleted: cache:6d10c38a3d0ddfe170820e256d2775fc
[18:19:07] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_casebook:2312016641 → cache:6d10c38a3d0ddfe170820e256d2775fc
[18:19:07] INFO | mcp-server | 
[18:19:07] ERROR | mcp-server | [TARANTOOL] Unexpected error on GET cache:9570f40cf8c214294668c7ceb1b37d69: Trying to access data when there's no data
[18:19:07] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_infosphere:2312016641 → cache:9570f40cf8c214294668c7ceb1b37d69
[18:19:07] INFO | mcp-server | 
[18:19:07] DEBUG | mcp-server | [TARANTOOL] Cache expired and deleted: cache:d634b73985cc20f08e9cea06382b6a7a
[18:19:07] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_dadata:2312016641 → cache:d634b73985cc20f08e9cea06382b6a7a
[18:19:07] INFO | mcp-server | 
[18:19:07] INFO | mcp-server | 
[18:19:07] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:d634b73985cc20f08e9cea06382b6a7a, ttl=7200
[18:19:07] DEBUG | mcp-server | [CACHE] Cache SET: cache:d634b73985cc20f08e9cea06382b6a7a, ttl=7200
[18:19:07] INFO | mcp-server | 
[18:19:08] INFO | mcp-server | [FETCH_ALL_PAGES] Пагинация не обнаружена. Останавливаемся после страницы 1.
[18:19:08] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:6d10c38a3d0ddfe170820e256d2775fc, ttl=9600
[18:19:08] DEBUG | mcp-server | [CACHE] Cache SET: cache:6d10c38a3d0ddfe170820e256d2775fc, ttl=9600
[18:19:10] INFO | mcp-server | 
[18:19:10] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:9570f40cf8c214294668c7ceb1b37d69, ttl=3600
[18:19:10] DEBUG | mcp-server | [CACHE] Cache SET: cache:9570f40cf8c214294668c7ceb1b37d69, ttl=3600
[18:19:10] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:08aceb857e73acdaaeed484130570643, ttl=9600
[18:19:10] DEBUG | mcp-server | [CACHE] Cache SET: cache:08aceb857e73acdaaeed484130570643, ttl=9600
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:7f860b3978c3ec802c46a34d725c4868'
[18:21:54] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_company_info:7707083893 → cache:7f860b3978c3ec802c46a34d725c4868
[18:21:54] INFO | mcp-server | [COMPANY_INFO] Fetching data for INN: 7707083893
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:f57fb25c3908b3c8477a4c4e4d23650d'
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:71b8a916a2d770889a41fbcc4db6f7eb'
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:71b8a916a2d770889a41fbcc4db6f7eb'
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:bda37742e816828deea7f9d37c31b431'
[18:21:54] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:bda37742e816828deea7f9d37c31b431'
[18:21:54] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_infosphere:7707083893 → cache:f57fb25c3908b3c8477a4c4e4d23650d
[18:21:54] INFO | mcp-server | 
[18:21:54] ERROR | mcp-server | [TARANTOOL] Unexpected error on GET cache:bda37742e816828deea7f9d37c31b431: 0
[18:21:54] ERROR | mcp-server | [TARANTOOL] Unexpected error on GET cache:bda37742e816828deea7f9d37c31b431: 0
[18:21:54] ERROR | mcp-server | [TARANTOOL] Unexpected error on GET cache:71b8a916a2d770889a41fbcc4db6f7eb: 3 exceeds max_map_len(2)
[18:21:54] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_dadata:7707083893 → cache:bda37742e816828deea7f9d37c31b431
[18:21:54] INFO | mcp-server | 
[18:21:54] DEBUG | mcp-server | [CACHE] Cache MISS: app.services.fetch_data:fetch_from_casebook:7707083893 → cache:71b8a916a2d770889a41fbcc4db6f7eb
[18:21:54] INFO | mcp-server | 
[18:21:54] INFO | mcp-server | 
[18:21:54] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:bda37742e816828deea7f9d37c31b431, ttl=7200
[18:21:54] DEBUG | mcp-server | [CACHE] Cache SET: cache:bda37742e816828deea7f9d37c31b431, ttl=7200
[18:21:55] INFO | mcp-server | 
[18:21:55] INFO | mcp-server | [FETCH_ALL_PAGES] Пагинация не обнаружена. Останавливаемся после страницы 1.
[18:21:55] DEBUG | mcp-server | [TARANTOOL] Cache set: cache:71b8a916a2d770889a41fbcc4db6f7eb, ttl=9600
[18:21:55] DEBUG | mcp-server | [CACHE] Cache SET: cache:71b8a916a2d770889a41fbcc4db6f7eb, ttl=9600
[18:22:22] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:d634b73985cc20f08e9cea06382b6a7a'
[18:22:22] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() unpacking value for key='cache:d634b73985cc20f08e9cea06382b6a7a': type=<class 'bytes'>, len=3612
[18:22:22] DEBUG | mcp-server | [CACHE] Cache HIT: app.services.fetch_data:fetch_from_dadata:2312016641 → cache:d634b73985cc20f08e9cea06382b6a7a
[18:22:24] WARNING | mcp-server | [_RETRY_REQUEST] Request error: . Retrying in 0.5 seconds...
[18:22:24] INFO | mcp-server | 
[18:22:54] WARNING | mcp-server | [_RETRY_REQUEST] Request error: . Retrying in 1.0 seconds...
[18:22:55] INFO | mcp-server | 
[18:23:15] INFO | mcp-server | [APP] ✋ Приложение остановлено вручную
[18:29:23] INFO | mcp-server | [APP] MCP-сервер запущен в фоне на порту 8001
[18:29:23] INFO | mcp-server | [APP] Streamlit UI запущен на порту 8501
[18:29:24] INFO | mcp-server | [APP] ✅ Инициализация приложения...
[18:29:24] INFO | mcp-server | [TARANTOOL] Tarantool connected successfully
[18:29:24] INFO | mcp-server | [APP] ✅ Клиенты инициализированы
[18:29:52] INFO | mcp-server | [APP] 🛑 Завершение работы приложения...
[18:29:52] INFO | mcp-server | [TARANTOOL] Tarantool connection closed
[18:29:52] INFO | mcp-server | [APP] ✅ Все соединения закрыты
[18:29:52] INFO | mcp-server | [APP] ✋ Приложение остановлено вручную
[18:30:51] INFO | mcp-server | [APP] MCP-сервер запущен в фоне на порту 8001
[18:30:51] INFO | mcp-server | [APP] Streamlit UI запущен на порту 8501
[18:30:52] INFO | mcp-server | [APP] ✅ Инициализация приложения...
[18:30:52] INFO | mcp-server | [TARANTOOL] Tarantool connected successfully
[18:30:52] INFO | mcp-server | [APP] ✅ Клиенты инициализированы
[18:31:29] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() called for key='cache:9570f40cf8c214294668c7ceb1b37d69'
[18:31:29] DEBUG | mcp-server | [TARANTOOL_DEBUG] Tarantool.get() unpacking value for key='cache:9570f40cf8c214294668c7ceb1b37d69': type=<class 'bytes'>, len=2649
[18:31:29] DEBUG | mcp-server | [CACHE] Cache HIT: app.services.fetch_data:fetch_from_infosphere:2312016641 → cache:9570f40cf8c214294668c7ceb1b37d69
[18:31:36] INFO | mcp-server | [APP] 🛑 Завершение работы приложения...
[18:31:36] INFO | mcp-server | [TARANTOOL] Tarantool connection closed
[18:31:36] INFO | mcp-server | [APP] ✅ Все соединения закрыты
[18:31:36] INFO | mcp-server | [APP] ✋ Приложение остановлено вручную
